Location, Ecosystem type, Method, Note, Reference, WFPS(%),f_N2O_nit,f_N2O_denit,f_N2O_red,f_N2O_nit,f_N2O_nit,f_N2O_red,f_N2O_red,f_N2O_red,f_N2O_red,,,,,,,,,,,,,,,,
Pavia Italy,Rice paddy,Flasks and IRMS,DS-AWD,Verhoeven et al. 2019,90,0.25,0.75,0.9,,,,,,,,,,,,,,,,,,,,,,
Pavia Italy,Rice paddy,Flasks and IRMS,WS-AWD,Verhoeven et al. 2019,90,0.2,0.8,0.95,,,,,,,,,,,,,,,,,,,,,,
Pavia Italy,Rice paddy,Flasks and IRMS,WS-AWD,Verhoeven et al. 2019,90,0.5,0.5,0.95,,,,,,,,,,,,,,,,,,,,,,
Pavia Italy,Rice paddy,Flasks and IRMS,WS-AWD,Verhoeven et al. 2019,90,0.7,0.3,0.95,,,,,,,,,,,,,,,,,,,,,,
Pavia Italy,Rice paddy,Flasks and IRMS,WS-AWD,Verhoeven et al. 2019,90,0.4,0.6,0.95,,,,,,,,,,,,,,,,,,,,,,
Pavia Italy,Rice paddy,Flasks and IRMS,WS-AWD,Verhoeven et al. 2019,90,0.5,0.5,0.7,,,,,,,,,,,,,,,,,,,,,,
Pavia Italy,Rice paddy,Flasks and IRMS,WS-AWD,Verhoeven et al. 2019,90,0.7,0.3,0.75,,,,,,,,,,,,,,,,,,,,,,
Pavia Italy,Rice paddy,Flasks and IRMS,WS-FLD,Verhoeven et al. 2019,90,0.2,0.8,0.9,,,,,,,,,,,,,,,,,,,,,,
Pavia Italy,Rice paddy,Flasks and IRMS,WS-FLD,Verhoeven et al. 2019,90,0.5,0.5,0.9,,,,,,,,,,,,,,,,,,,,,,
Pavia Italy,Rice paddy,Flasks and IRMS,WS-FLD,Verhoeven et al. 2019,90,0.5,0.5,0.9,,,,,,,,,,,,,,,,,,,,,,
Pavia Italy,Rice paddy,Flasks and IRMS,WS-FLD,Verhoeven et al. 2019,90,0.6,0.4,0.9,,,,,,,,,,,,,,,,,,,,,,
Pavia Italy,Rice paddy,Flasks and IRMS,WS-FLD,Verhoeven et al. 2019,90,0.7,0.3,0.85,,,,,,,,,,,,,,,,,,,,,,
Pavia Italy,Rice paddy,Flasks and IRMS,WS-FLD,Verhoeven et al. 2019,90,0.6,0.4,0.7,,,,,,,,,,,,,,,,,,,,,,
Innsbruck Austria,Grassland,Chamber stable isotope,My study,Harris et al. 2020,5,0.25,0.75,0,,,,,,,,,,,,,,,,,,,,,,
Innsbruck Austria,Grassland,Chamber stable isotope,My study,Harris et al. 2020,10,0.25,0.75,0,,,,,,,,,,,,,,,,,,,,,,
Innsbruck Austria,Grassland,Chamber stable isotope,My study,Harris et al. 2020,15,0.3,0.7,0.122807018,,,,,,,,,,,,,,,,,,,,,,
Innsbruck Austria,Grassland,Chamber stable isotope,My study,Harris et al. 2020,20,0.3,0.7,0.047619048,,,,,,,,,,,,,,,,,,,,,,
Innsbruck Austria,Grassland,Chamber stable isotope,My study,Harris et al. 2020,25,0.2,0.8,0.145299145,,,,,,,,,,,,,,,,,,,,,,
Innsbruck Austria,Grassland,Chamber stable isotope,My study,Harris et al. 2020,30,0.1,0.9,0,,,,,,,,,,,,,,,,,,,,,,
Innsbruck Austria,Grassland,Chamber stable isotope,My study,Harris et al. 2020,35,0.3,0.7,0.090909091,,,,,,,,,,,,,,,,,,,,,,
Innsbruck Austria,Grassland,Chamber stable isotope,My study,Harris et al. 2020,40,0.3,0.7,0.038461538,,,,,,,,,,,,,,,,,,,,,,
Innsbruck Austria,Grassland,Chamber stable isotope,My study,Harris et al. 2020,45,0.25,0.75,0.047619048,,,,,,,,,,,,,,,,,,,,,,
Innsbruck Austria,Grassland,Chamber stable isotope,My study,Harris et al. 2020,50,0.3,0.7,0.047619048,,,,,,,,,,,,,,,,,,,,,,
Innsbruck Austria,Grassland,Chamber stable isotope,My study,Harris et al. 2020,55,0.2,0.8,0.047619048,,,,,,,,,,,,,,,,,,,,,,
Innsbruck Austria,Grassland,Chamber stable isotope,My study,Harris et al. 2020,60,0.2,0.8,0.047619048,,,,,,,,,,,,,,,,,,,,,,
