Ref,Author_Year,Location,Lat,Long,Precip_mm,Temp_C,Precip_avg_mm,Temp_avg_C,IPCC_climclass,Soil_Texture,Soil_Class,Soil_Sand_perc,Soil_Silt_perc,Soil_Clay_perc,Soil_SOC_perc,Soil_SON_perc,Soil_BD_gcm3,pH,CEC,Man_PreCrop,Man_LandType,Man_Crop,Man_Management,n_measurements,Method,Chamber_Area_m2,Chamber_Closure_min,Chamber_Int,Chamber_out,n_measurements_2,Year_type,Year,Duration,Reps,Fert_Type,Fert_Mode_App,Fert_n_App,n_Crops,Residues,tillage,till_depth,cover_crop,Irrigation_YN,Liming,N_App_Rate_kgN_ha,N_uptake_kgN_ha,N2O_kgN2O-N_ha,N2O_se_kgN2O-N_ha,N2O_Interp_Method,EF,deltaEF,CropType,FertType,STD,avgPrecip,avgTemp,SoilTexture,SoilTexture2,PrecipClass,TempClass
1,"Abdalla et al., 2010","Carlow, Ireland",52.85,-6.91,NA,NA,NA,NA,NA,sandy loam,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,cropland,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,79,NA,0.42,0.02,NA,0.367088608,NA,NA,NA,NA,1079.521,9.329,sandy loam,Coarse,avg,cool temperate
1,"Abdalla et al., 2010","Carlow, Ireland",52.85,-6.91,NA,NA,NA,NA,NA,sandy loam,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,cropland,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,159,NA,0.94,0.2,NA,0.509433962,NA,NA,NA,NA,1079.521,9.329,sandy loam,Coarse,avg,cool temperate
1,"Abdalla et al., 2010","Carlow, Ireland",52.85,-6.91,NA,NA,NA,NA,NA,sandy loam,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,cropland,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1079.521,9.329,sandy loam,Coarse,avg,cool temperate
2,"Allen et al., 2010","Jacobs Well, Brisbane, Australia",-27.72,153.27,1017,NA,NA,NA,NA,NA,Hydrosol,28,26,46,3,NA,1.07,5,NA,NA,cropland,sugarcane,NA,40,static,4.30E-02,NA,NA,NA,3,NA,2003-2004,365,10,liquid urea,"row subsurface band at 15 cm, broadcast for split",2,NA,NA,NA,NA,NA,NA,NA,0,NA,2.86,0.34,NA,NA,4.75E-03,NA,Urea,NA,1219.459,19.876,clay,Fine,avg,tropical
2,"Allen et al., 2010","Jacobs Well, Brisbane, Australia",-27.72,153.27,1017,NA,NA,NA,NA,NA,Hydrosol,28,26,46,NA,NA,NA,NA,NA,NA,cropland,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,100,NA,3.86,0.64,NA,1,NA,NA,NA,NA,1219.459,19.876,clay,Fine,avg,tropical
2,"Allen et al., 2010","Jacobs Well, Brisbane, Australia",-27.72,153.27,1017,NA,NA,NA,NA,NA,Hydrosol,28,26,46,NA,NA,NA,NA,NA,NA,cropland,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,200,NA,5.81,1.88,NA,1.475,NA,NA,NA,NA,1219.459,19.876,clay,Fine,avg,tropical
2,"Allen et al., 2010","Jacobs Well, Brisbane, Australia",-27.72,153.27,1017,NA,NA,NA,NA,NA,Hydrosol,28,26,46,NA,NA,NA,NA,NA,NA,cropland,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,0,NA,2.86,0.34,NA,NA,2.28E-02,NA,NA,NA,1219.459,19.876,clay,Fine,avg,tropical
2,"Allen et al., 2010","Jacobs Well, Brisbane, Australia",-27.72,153.27,1017,NA,NA,NA,NA,NA,Hydrosol,28,26,46,NA,NA,NA,NA,NA,NA,cropland,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,100,NA,3.93,0.23,NA,1.07,NA,NA,NA,NA,1219.459,19.876,clay,Fine,avg,tropical
2,"Allen et al., 2010","Jacobs Well, Brisbane, Australia",-27.72,153.27,1017,NA,NA,NA,NA,NA,Hydrosol,28,26,46,NA,NA,NA,NA,NA,NA,cropland,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,200,NA,9.56,1.33,NA,3.35,NA,NA,NA,NA,1219.459,19.876,clay,Fine,avg,tropical
2,"Allen et al., 2010","Jacobs Well, Brisbane, Australia",-27.72,153.27,1017,NA,NA,NA,NA,NA,Hydrosol,28,26,46,NA,NA,NA,NA,NA,NA,cropland,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1219.459,19.876,clay,Fine,avg,tropical
3,"Anger et al., 2003","Daun, western Germany",50.19,6.82,830,8.2,NA,NA,NA,silt loam,Cambisol,31,55,14,3.9,NA,1.3,5.1,NA,NA,grassland,grassland swards,NA,31,static,0.24,NA,NA,NA,4,NA,1997-1998,357,NA,calcium ammonium nitrate,NA,4,NA,NA,NA,NA,NA,NA,NA,0,NA,0.23,NA,NA,NA,3.47E-04,Forage,Calcium ammonium nitrate,NA,902.203,9.185,silt loam,Medium,dry,cool temperate
3,"Anger et al., 2003","Daun, western Germany",50.19,6.82,830,8.2,NA,NA,NA,silt loam,Cambisol,31,55,14,NA,NA,NA,NA,NA,NA,grassland,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,120,NA,0.38,0.126666667,NA,0.125,NA,NA,NA,NA,902.203,9.185,silt loam,Medium,dry,cool temperate
3,"Anger et al., 2003","Daun, western Germany",50.19,6.82,830,8.2,NA,NA,NA,silt loam,Cambisol,31,55,14,NA,NA,NA,NA,NA,NA,grassland,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,240,NA,0.68,0.226666667,NA,0.1875,NA,NA,NA,NA,902.203,9.185,silt loam,Medium,dry,cool temperate
3,"Anger et al., 2003","Daun, western Germany",50.19,6.82,830,8.2,NA,NA,NA,silt loam,Cambisol,31,55,14,NA,NA,NA,NA,NA,NA,grassland,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,360,NA,0.98,0.326666667,NA,0.208333333,NA,he must do a linear regression or something….,NA,NA,902.203,9.185,silt loam,Medium,dry,cool temperate
3,"Anger et al., 2003","Daun, western Germany",50.19,6.82,830,8.2,NA,NA,NA,silt loam,Cambisol,31,55,14,NA,NA,NA,NA,NA,NA,grassland,NA,NA,9,NA,NA,NA,NA,NA,NA,NA,1997-1998,108,4,calcium ammonium nitrate + urea,spring application of urea,5,NA,NA,NA,NA,NA,NA,NA,0,NA,0.05,0.326666667,NA,NA,-3.50E-03,-2.57E-03,NA,NA,902.203,9.185,silt loam,Medium,dry,cool temperate
3,"Anger et al., 2003","Daun, western Germany",50.19,6.82,830,8.2,NA,NA,NA,silt loam,Cambisol,31,55,14,NA,NA,NA,NA,NA,NA,grassland,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,101,NA,2.8,0.4,NA,2.722772277,NA,NA,NA,NA,902.203,9.185,silt loam,Medium,dry,cool temperate
3,"Anger et al., 2003","Daun, western Germany",50.19,6.82,830,8.2,NA,NA,NA,silt loam,Cambisol,31,55,14,NA,NA,NA,NA,NA,NA,grassland,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,221,NA,7.56,1.989473684,NA,3.398190045,NA,NA,NA,NA,902.203,9.185,silt loam,Medium,dry,cool temperate
3,"Anger et al., 2003","Daun, western Germany",50.19,6.82,830,8.2,NA,NA,NA,silt loam,Cambisol,31,55,14,NA,NA,NA,NA,NA,NA,grassland,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,341,NA,6.79,1.131666667,NA,1.976539589,NA,NA,NA,NA,902.203,9.185,silt loam,Medium,dry,cool temperate
3,"Anger et al., 2003","Daun, western Germany",50.19,6.82,830,8.2,NA,NA,NA,silt loam,Cambisol,31,55,14,NA,NA,NA,NA,NA,NA,grassland,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,461,NA,8.33,1.19,NA,1.796095445,NA,NA,NA,NA,902.203,9.185,silt loam,Medium,dry,cool temperate
3,"Anger et al., 2003","Daun, western Germany",50.19,6.82,830,8.2,NA,NA,NA,silt loam,Cambisol,31,55,14,NA,NA,NA,NA,NA,NA,grassland,NA,NA,14,NA,NA,NA,NA,NA,NA,NA,1997-1998,191,4,calcium ammonium nitrate + urea,fall application of urea,5,NA,NA,NA,NA,NA,NA,NA,0,NA,0.14,1.19,NA,NA,-5.47E-04,NA,NA,NA,902.203,9.185,silt loam,Medium,dry,cool temperate
3,"Anger et al., 2003","Daun, western Germany",50.19,6.82,830,8.2,NA,NA,NA,silt loam,Cambisol,31,55,14,NA,NA,NA,NA,NA,NA,grassland,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,101,NA,0.67,0.223333333,NA,0.524752475,NA,NA,NA,NA,902.203,9.185,silt loam,Medium,dry,cool temperate
3,"Anger et al., 2003","Daun, western Germany",50.19,6.82,830,8.2,NA,NA,NA,silt loam,Cambisol,31,55,14,NA,NA,NA,NA,NA,NA,grassland,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,221,NA,0.87,0.435,NA,0.330316742,NA,NA,NA,NA,902.203,9.185,silt loam,Medium,dry,cool temperate
3,"Anger et al., 2003","Daun, western Germany",50.19,6.82,830,8.2,NA,NA,NA,silt loam,Cambisol,31,55,14,NA,NA,NA,NA,NA,NA,grassland,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,341,NA,0.78,0.585,NA,0.187683284,NA,NA,NA,NA,902.203,9.185,silt loam,Medium,dry,cool temperate
3,"Anger et al., 2003","Daun, western Germany",50.19,6.82,830,8.2,NA,NA,NA,silt loam,Cambisol,31,55,14,NA,NA,NA,NA,NA,NA,grassland,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,461,NA,1.77,0.393333333,NA,0.353579176,NA,NA,NA,NA,902.203,9.185,silt loam,Medium,dry,cool temperate
3,"Anger et al., 2003","Daun, western Germany",50.19,6.82,830,8.2,NA,NA,NA,silt loam,Cambisol,31,55,14,NA,NA,NA,NA,NA,NA,grassland,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,902.203,9.185,silt loam,Medium,dry,cool temperate
4,"Augustin et al., 1999","Paulinenaue, Germany",52.77,12.77,NA,NA,NA,NA,NA,NA,minerotrophic peat,NA,NA,NA,35.6,3,NA,NA,NA,NA,grassland,grassland,NA,26,static,0.13,NA,NA,NA,NA,NA,1995,250,NA,cal-cium ammonium nitrate,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,1.09,NA,NA,NA,5.27E-03,Forage,Calcium ammonium nitrate,NA,572.591,9.759,NA,NA,dry,cool temperate
4,"Augustin et al., 1999","Paulinenaue, Germany",52.77,12.77,NA,NA,NA,NA,NA,NA,minerotrophic peat,NA,NA,NA,NA,NA,NA,NA,NA,NA,grassland,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,60,NA,0.87,NA,NA,-0.366666667,NA,NA,NA,NA,572.591,9.759,NA,NA,dry,cool temperate
4,"Augustin et al., 1999","Paulinenaue, Germany",52.77,12.77,NA,NA,NA,NA,NA,NA,minerotrophic peat,NA,NA,NA,NA,NA,NA,NA,NA,NA,grassland,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,120,NA,1.757,NA,NA,0.555833333,NA,NA,NA,NA,572.591,9.759,NA,NA,dry,cool temperate
4,"Augustin et al., 1999","Paulinenaue, Germany",52.77,12.77,NA,NA,NA,NA,NA,NA,minerotrophic peat,NA,NA,NA,NA,NA,NA,NA,NA,NA,grassland,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,480,NA,11.08,NA,NA,2.08125,NA,NA,NA,NA,572.591,9.759,NA,NA,dry,cool temperate
4,"Augustin et al., 1999","Paulinenaue, Germany",52.77,12.77,NA,NA,NA,NA,NA,NA,minerotrophic peat,NA,NA,NA,NA,NA,NA,NA,NA,NA,grassland,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,572.591,9.759,NA,NA,dry,cool temperate
5,"Balezentiene and Kusta, 2012","Kaunas, Lithuania",54.87,23.83,670,6.5,NA,NA,NA,clay loam,Endohypogleyic Luvisol,NA,NA,NA,2.5,NA,NA,6.85,NA,NA,grassland,abandoned grassland (>20 y),NA,4,static,0.185,NA,NA,NA,3,NA,2009,110,6,ammonium saltpeter,NA,2,NA,NA,NA,NA,NA,NA,NA,0,NA,0.406,NA,NA,NA,-4.17E-06,Forage,NA,NA,638.918,7.081,clay loam,Fine,dry,cool temperate
5,"Balezentiene and Kusta, 2012","Kaunas, Lithuania",54.87,23.83,670,6.5,NA,NA,NA,clay loam,Endohypogleyic Luvisol,NA,NA,NA,NA,NA,NA,NA,NA,NA,grassland,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,60,NA,0.48,NA,NA,0.123333333,NA,NA,NA,NA,638.918,7.081,clay loam,Fine,dry,cool temperate
5,"Balezentiene and Kusta, 2012","Kaunas, Lithuania",54.87,23.83,670,6.5,NA,NA,NA,clay loam,Endohypogleyic Luvisol,NA,NA,NA,NA,NA,NA,NA,NA,NA,grassland,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,120,NA,0.56,NA,NA,0.128333333,NA,NA,NA,NA,638.918,7.081,clay loam,Fine,dry,cool temperate
5,"Balezentiene and Kusta, 2012","Kaunas, Lithuania",54.87,23.83,670,6.5,NA,NA,NA,clay loam,Endohypogleyic Luvisol,NA,NA,NA,NA,NA,NA,NA,NA,NA,grassland,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,180,NA,0.637,NA,NA,0.128333333,NA,NA,NA,NA,638.918,7.081,clay loam,Fine,dry,cool temperate
5,"Balezentiene and Kusta, 2012","Kaunas, Lithuania",54.87,23.83,670,6.5,NA,NA,NA,clay loam,Endohypogleyic Luvisol,NA,NA,NA,NA,NA,NA,NA,NA,NA,grassland,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,240,NA,0.7,NA,NA,0.1225,NA,NA,NA,NA,638.918,7.081,clay loam,Fine,dry,cool temperate
5,"Balezentiene and Kusta, 2012","Kaunas, Lithuania",54.87,23.83,670,6.5,NA,NA,NA,clay loam,Endohypogleyic Luvisol,NA,NA,NA,NA,NA,NA,NA,NA,NA,grassland,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,638.918,7.081,clay loam,Fine,dry,cool temperate
6,"Breitenbeck and Bremner, 1986","Ames,Iowa, USA",41.95,-93.71,NA,NA,NA,NA,NA,NA,typic Haplaquoll,31,40,29,3.8,NA,NA,6.9,NA,NA,cropland,maize,NA,NA,static,0.196,NA,NA,NA,NA,NA,1979,116,6,Anhydrous ammonium,NA,injection,NA,NA,NA,NA,NA,NA,NA,0,NA,0.45,NA,NA,NA,-1.87E-03,Upland Grain,NA,NA,882.512,9.88,clay loam,Fine,dry,cool temperate
6,"Breitenbeck and Bremner, 1986","Ames,Iowa, USA",41.95,-93.71,NA,NA,NA,NA,NA,NA,typic Haplaquoll,31,40,29,NA,NA,NA,NA,NA,NA,cropland,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,75,NA,1.67,NA,NA,1.626666667,NA,NA,NA,NA,882.512,9.88,clay loam,Fine,dry,cool temperate
6,"Breitenbeck and Bremner, 1986","Ames,Iowa, USA",41.95,-93.71,NA,NA,NA,NA,NA,NA,typic Haplaquoll,31,40,29,NA,NA,NA,NA,NA,NA,cropland,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,150,NA,2.58,NA,NA,1.42,NA,NA,NA,NA,882.512,9.88,clay loam,Fine,dry,cool temperate
6,"Breitenbeck and Bremner, 1986","Ames,Iowa, USA",41.95,-93.71,NA,NA,NA,NA,NA,NA,typic Haplaquoll,31,40,29,NA,NA,NA,NA,NA,NA,cropland,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,225,NA,3.17,NA,NA,1.208888889,NA,NA,NA,NA,882.512,9.88,clay loam,Fine,dry,cool temperate
6,"Breitenbeck and Bremner, 1986","Ames,Iowa, USA",41.95,-93.71,NA,NA,NA,NA,NA,NA,typic Haplaquoll,31,40,29,NA,NA,NA,NA,NA,NA,cropland,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,300,NA,3.75,NA,NA,1.1,NA,NA,NA,NA,882.512,9.88,clay loam,Fine,dry,cool temperate
6,"Breitenbeck and Bremner, 1986","Ames,Iowa, USA",41.95,-93.71,NA,NA,NA,NA,NA,NA,typic Haplaquoll,31,40,29,NA,NA,NA,NA,NA,NA,cropland,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,375,NA,4.26,NA,NA,1.016,NA,NA,NA,NA,882.512,9.88,clay loam,Fine,dry,cool temperate
6,"Breitenbeck and Bremner, 1986","Ames,Iowa, USA",41.95,-93.71,NA,NA,NA,NA,NA,NA,typic Haplaquoll,31,40,29,NA,NA,NA,NA,NA,NA,cropland,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,450,NA,4.54,NA,NA,0.908888889,NA,NA,NA,NA,882.512,9.88,clay loam,Fine,dry,cool temperate
6,"Breitenbeck and Bremner, 1986","Ames,Iowa, USA",41.95,-93.71,NA,NA,NA,NA,NA,NA,typic Haplaquoll,31,40,29,NA,NA,NA,NA,NA,NA,cropland,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,882.512,9.88,clay loam,Fine,dry,cool temperate
7,"Brummer et al., 2008","Dano, Ioba, Burkina Faso",11.16,-3.08,926,29.5,NA,NA,NA,loam,NA,42,36,22,0.86,7.00E-02,1.58,5.9,NA,NA,cropland,sorgnum,NA,531,automatic,0.25,NA,NA,NA,4,NA,2006,100,3,ammonium nitrate,direct application to root zone,1,NA,NA,NA,NA,NA,NA,NA,0,NA,0.12,NA,NA,NA,9.14E-04,NA,Ammonium nitrate,NA,913.859,28.206,loam,Medium,dry,tropical
7,"Brummer et al., 2008","Dano, Ioba, Burkina Faso",11.16,-3.08,926,29.5,NA,NA,NA,loam,NA,42,36,22,NA,NA,NA,NA,NA,NA,cropland,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,52.5,NA,0.24,NA,NA,0.228571429,NA,NA,NA,NA,913.859,28.206,loam,Medium,dry,tropical
7,"Brummer et al., 2008","Dano, Ioba, Burkina Faso",11.16,-3.08,926,29.5,NA,NA,NA,loam,NA,42,36,22,NA,NA,NA,NA,NA,NA,cropland,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,140,NA,0.552,NA,NA,0.308571429,NA,NA,NA,NA,913.859,28.206,loam,Medium,dry,tropical
7,"Brummer et al., 2008","Dano, Ioba, Burkina Faso",11.16,-3.08,926,29.5,NA,NA,NA,loam,NA,42,36,22,NA,NA,NA,NA,NA,NA,cropland,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,913.859,28.206,loam,Medium,dry,tropical
